State,County,G_16,M_16,US_16,U_16,V_16,H_16,G_17,M_17,US_17,U_17,V_17,H_17,IO_16,IO_17,healthy
Alabama,DeKalb,0.8735632183908046,0.1235632183908046,0.0028735632183908046,0.0,0.0,0.0,0.9164345403899722,0.08356545961002786,0.0,0.0,0.0,0.0,1.0,1.0,1
Alabama,Etowah,0.4602272727272727,0.5227272727272727,0.008522727272727272,0.008522727272727272,0.0,0.0,0.6472222222222223,0.3472222222222222,0.002777777777777778,0.002777777777777778,0.0,0.0,0.0,0.0,0
Alabama,Jefferson,0.5218579234972678,0.453551912568306,0.02185792349726776,0.00273224043715847,0.0,0.0,0.39452054794520547,0.5808219178082191,0.024657534246575342,0.0,0.0,0.0,0.0,0.0,0
Alabama,Mobile,0.7568306010928961,0.23770491803278687,0.00546448087431694,0.0,0.0,0.0,0.8236914600550964,0.162534435261708,0.013774104683195593,0.0,0.0,0.0,0.0,1.0,0
Alabama,Morgan,0.8328767123287671,0.16164383561643836,0.005479452054794521,0.0,0.0,0.0,0.8708791208791209,0.12912087912087913,0.0,0.0,0.0,0.0,1.0,1.0,1
Alabama,Tuscaloosa,0.6136986301369863,0.3863013698630137,0.0,0.0,0.0,0.0,0.4714285714285714,0.5257142857142857,0.002857142857142857,0.0,0.0,0.0,0.0,0.0,0
Alaska,Anchorage ,0.7977839335180056,0.20221606648199447,0.0,0.0,0.0,0.0,0.8575342465753425,0.13972602739726028,0.0027397260273972603,0.0,0.0,0.0,0.0,0.0,1
Alaska,Denali ,0.9972067039106145,0.002793296089385475,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
Alaska,Fairbanks North Star ,0.5956284153005464,0.2459016393442623,0.09289617486338798,0.06557377049180328,0.0,0.0,0.6547945205479452,0.2219178082191781,0.0684931506849315,0.0547945205479452,0.0,0.0,0.0,0.0,0
Alaska,Matanuska-Susitna ,0.8169398907103825,0.1721311475409836,0.01092896174863388,0.0,0.0,0.0,0.8465753424657534,0.13972602739726028,0.010958904109589041,0.0027397260273972603,0.0,0.0,1.0,1.0,0
Arizona,Apache,0.994535519125683,0.00546448087431694,0.0,0.0,0.0,0.0,0.9945205479452055,0.005479452054794521,0.0,0.0,0.0,0.0,0.0,0.0,1
Arizona,Cochise,0.76775956284153,0.226775956284153,0.00546448087431694,0.0,0.0,0.0,0.6958904109589041,0.2958904109589041,0.00821917808219178,0.0,0.0,0.0,1.0,1.0,1
Arizona,Coconino,0.8224043715846995,0.17759562841530055,0.0,0.0,0.0,0.0,0.7095890410958904,0.2876712328767123,0.0027397260273972603,0.0,0.0,0.0,1.0,1.0,0
Arizona,Gila,0.22950819672131148,0.37158469945355194,0.3251366120218579,0.07377049180327869,0.0,0.0,0.18904109589041096,0.4246575342465753,0.3287671232876712,0.057534246575342465,0.0,0.0,0.0,0.0,0
Arizona,La Paz,0.8054794520547945,0.1917808219178082,0.0027397260273972603,0.0,0.0,0.0,0.770949720670391,0.22346368715083798,0.00558659217877095,0.0,0.0,0.0,1.0,1.0,0
Arizona,Maricopa,0.16120218579234974,0.7377049180327869,0.09836065573770492,0.0,0.00273224043715847,0.0,0.13972602739726028,0.7095890410958904,0.136986301369863,0.0136986301369863,0.0,0.0,1.0,1.0,0
Arizona,Mohave,0.9411764705882353,0.058823529411764705,0.0,0.0,0.0,0.0,0.9830985915492958,0.016901408450704224,0.0,0.0,0.0,0.0,0.0,0.0,1
Arizona,Navajo,0.8224043715846995,0.17759562841530055,0.0,0.0,0.0,0.0,0.7643835616438356,0.2328767123287671,0.0027397260273972603,0.0,0.0,0.0,1.0,1.0,0
Arizona,Pima,0.5491803278688525,0.43989071038251365,0.01092896174863388,0.0,0.0,0.0,0.3972602739726027,0.5835616438356165,0.019178082191780823,0.0,0.0,0.0,1.0,1.0,0
Arizona,Santa Cruz,0.7162534435261708,0.2809917355371901,0.0,0.0027548209366391185,0.0,0.0,0.7561643835616438,0.2328767123287671,0.005479452054794521,0.005479452054794521,0.0,0.0,0.0,0.0,0
Arizona,Yuma,0.6229508196721312,0.33879781420765026,0.03278688524590164,0.00273224043715847,0.0,0.00273224043715847,0.6602739726027397,0.3013698630136986,0.03287671232876712,0.0027397260273972603,0.0027397260273972603,0.0,1.0,1.0,0
Arkansas,Clark,0.9887323943661972,0.011267605633802818,0.0,0.0,0.0,0.0,0.9636871508379888,0.036312849162011177,0.0,0.0,0.0,0.0,1.0,1.0,1
Arkansas,Crittenden,0.8579234972677595,0.13387978142076504,0.00546448087431694,0.00273224043715847,0.0,0.0,0.7671232876712328,0.23013698630136986,0.0027397260273972603,0.0,0.0,0.0,1.0,1.0,0
Arkansas,Newton,0.9562841530054644,0.04371584699453552,0.0,0.0,0.0,0.0,0.9534246575342465,0.04657534246575343,0.0,0.0,0.0,0.0,1.0,1.0,1
Arkansas,Polk,0.8688524590163934,0.13114754098360656,0.0,0.0,0.0,0.0,0.8950276243093923,0.10497237569060773,0.0,0.0,0.0,0.0,1.0,1.0,1
Arkansas,Pulaski,0.7021857923497268,0.2978142076502732,0.0,0.0,0.0,0.0,0.6904109589041096,0.30684931506849317,0.0027397260273972603,0.0,0.0,0.0,0.0,0.0,0
Arkansas,Union,0.9316939890710383,0.06557377049180328,0.0,0.00273224043715847,0.0,0.0,0.7287671232876712,0.27123287671232876,0.0,0.0,0.0,0.0,0.0,0.0,0
Arkansas,Washington,0.9234972677595629,0.07650273224043716,0.0,0.0,0.0,0.0,0.7013698630136986,0.29863013698630136,0.0,0.0,0.0,0.0,1.0,0.0,1
